full_name,email_address,address,country,credit_card_number,is_chargemap_pro_user,invoices_count,paid_invoices_count,current_debt_amount,feedback_count,payment_mean,payment_time_avg,is_fraud
Mark Krause,stevens562@fraudmail.com,"075 Justin Club Apt. 740
Kathleenmouth, NC 79413",Denmark,180006689215571,True,12,1,2751.08,0,Crypto,33.18580345952926,1
Micheal Hart,franco760@fraudmail.com,"94351 Martinez Motorway Suite 938
Port Johnchester, NJ 93154",Belize,4722515004386799,True,11,0,2979.95,0,Card,33.008139537591575,1
Jose Lewis,williams812@fraudmail.com,"43747 Thomas Spur Suite 350
North Sarahfort, RI 30455",Nepal,6011701030663899,True,13,2,2924.75,0,Paypal,42.76475010211601,1
Dr. Emma Schmidt,jenkins710@fraudmail.com,"805 Hubbard Wall Apt. 589
Marilynstad, VT 87776",Cuba,180039985409317,True,8,3,2004.16,1,Paypal,24.60659097689647,1
Lisa Hayes,crawford922@fraudmail.com,"8396 William Square Apt. 283
Johnsonshire, ME 27538",Micronesia,3516400971976652,True,5,3,963.8,1,Crypto,20.182648908877592,1
Peter Silva,brown702@fraudmail.com,"74265 Parrish Avenue Suite 417
North Mary, IA 16041",Solomon Islands,4450274682932,True,4,5,1292.9,1,Paypal,46.91792468294678,1
Jonathon Jimenez,norris713@fraudmail.com,"7843 Evan Valleys Suite 564
East Biancaborough, MP 15826",Congo,4979640535044,True,14,3,1813.73,0,Card,51.39173637377171,1
Juan Lee,sanders582@fraudmail.com,"25099 Stephanie Islands Suite 705
South Rickyshire, VT 69705",Croatia,501803741914,True,6,4,2057.52,0,Paypal,54.20343852092166,1
Mary Stafford,olson653@fraudmail.com,"9546 Barber Circle Suite 085
New Vincentborough, AK 21959",Faroe Islands,3540673792638038,True,5,0,534.73,1,Crypto,19.710053184199506,1
Bradley Taylor,mendez721@fraudmail.com,"USCGC Turner
FPO AA 64054",Wallis and Futuna,5405665485980361,True,8,2,3329.3,1,Paypal,36.927017614691465,1
James Carpenter,rios523@fraudmail.com,"13718 Deborah Gardens
South Cameronborough, AS 79455",Canada,3540673792638038,True,20,3,4460.52,1,Card,54.95577517146381,1
Jonathan Hahn,buchanan821@fraudmail.com,"0649 Reid Groves
Jennaton, AR 16874",Bermuda,4039421319967,True,3,1,3766.18,0,Paypal,35.040022410615286,1
Amanda Evans,richardson609@fraudmail.com,"7657 Cook Springs
Perrytown, WA 01049",Finland,3575548450401853,True,16,0,1411.98,1,Crypto,50.14685019587232,1
Reginald Spencer,herrera613@fraudmail.com,"25099 Stephanie Islands Suite 705
South Rickyshire, VT 69705",Guyana,6011900140585907,True,12,4,691.43,1,Card,41.82068809147543,1
Mr. John Thornton,keller712@fraudmail.com,"695 Johnson Path Apt. 757
North Toni, DC 22660",Benin,6011208960146051,True,10,3,2252.23,0,Crypto,33.669115712968306,1
Dustin Miller,crawford373@fraudmail.com,"3253 Sarah Pines Apt. 813
South Jesseland, RI 53094",Kazakhstan,4013333187848652,True,14,4,1133.99,0,Paypal,28.074587376566207,1
Michele Young,wu891@fraudmail.com,"708 Christian Lake
New Ianport, CO 52220",Nigeria,213134215539537,True,11,2,1200.42,0,Paypal,52.54039791433613,1
Christopher Jenkins,burton523@fraudmail.com,"9463 Knox Road
Port Derrickberg, IL 51912",Jordan,4722515004386799,True,18,2,3978.08,0,Card,32.53344315377728,1
Paul Collins,strickland502@fraudmail.com,"54336 Michael River Suite 540
Lake Heather, MT 10767",Tunisia,4581768329021167465,True,8,0,593.94,1,Card,42.31652858130186,1
Aaron Sharp,harris909@fraudmail.com,"46475 Lyons Ports
Port Josephview, PR 39572",South Africa,6011385414888494,True,11,4,3503.06,0,Card,16.35932693193626,1
Kelly Scott,newman394@fraudmail.com,"PSC 4376, Box 7613
APO AP 31659",Guinea,375327049857059,True,4,3,1117.4,0,Card,33.371416179169785,1
James Humphrey,morris865@fraudmail.com,"248 Long Viaduct
West Miguelport, PA 66064",Sao Tome and Principe,2284335780672245,True,13,3,2545.75,1,Paypal,45.20453484361628,1
Rachael Donaldson,hudson535@fraudmail.com,"PSC 4376, Box 7613
APO AP 31659",Barbados,584424744491,True,12,5,2854.85,1,Crypto,57.9391213689715,1
Megan Murphy,williams649@fraudmail.com,"87922 Kimberly Union
New David, OK 78404",Bangladesh,2716927362493632,True,15,3,824.19,1,Card,35.28323724993194,1
Misty Thompson,mitchell241@fraudmail.com,"70085 Wilkins Row Suite 852
Rayfort, MS 31939",Andorra,4039421319967,True,12,2,278.36,0,Card,27.653069322138045,1
Thomas Cook,reyes697@fraudmail.com,"270 Debra Walk
North Lorimouth, MH 27551",Portugal,213138870141323,True,12,3,3583.78,1,Crypto,17.01248221433844,1
Christopher Robertson,ward911@fraudmail.com,"577 Dawn Ford Suite 684
New Nicholasport, WA 49099",Armenia,5414971581794378,True,8,5,4754.67,1,Card,54.3335788465903,1
Reginald Bowen,choi743@fraudmail.com,"075 Justin Club Apt. 740
Kathleenmouth, NC 79413",Qatar,375943245952401,True,16,0,2894.86,0,Crypto,42.32819670891759,1
Laura Haas,martinez808@fraudmail.com,"77043 Wood Knoll
Josephland, LA 74323",Western Sahara,3519679400737929,True,12,5,3558.99,0,Crypto,45.72582230535027,1
Gloria Miller,schaefer663@fraudmail.com,"USCGC Parker
FPO AE 84347",Kuwait,2284335780672245,True,12,4,2573.85,1,Paypal,29.046999870091213,1
Rodney Robinson,payne909@fraudmail.com,"487 Mario Fords Apt. 575
West Brandonfort, MN 87966",Brunei Darussalam,30252470016883,True,11,5,148.15,0,Crypto,59.059831867119556,1
Willie Macdonald,payne159@fraudmail.com,"93984 Cole Ridges Apt. 090
West Johnmouth, DC 69423",Faroe Islands,4756816420190511,True,20,1,439.98,0,Crypto,32.983909514390206,1
Derek Gilbert,webb203@fraudmail.com,"757 Pollard Underpass Suite 463
New Joshuashire, NV 40330",Papua New Guinea,379842254460122,True,5,1,4904.8,0,Crypto,43.52255635828297,1
Jessica Walters,lee248@fraudmail.com,"USCGC Fisher
FPO AA 22615",Cape Verde,5405665485980361,True,5,5,2932.18,1,Crypto,44.881973268926515,1
Drew Castillo,ramos683@fraudmail.com,"6377 Julie Burg Suite 495
Wilsonfort, VT 96039",Cote d'Ivoire,3540673792638038,True,1,0,2288.98,1,Paypal,23.848636982897904,1
Zachary Mendoza,reid863@fraudmail.com,"8545 David Coves Suite 447
Dawntown, MO 48910",Bhutan,30252470016883,True,4,0,606.45,0,Paypal,38.28280128671719,1
Victoria Burns,key419@fraudmail.com,"4294 Chase Turnpike
East Deborahburgh, AS 49168",Aruba,5414971581794378,True,5,1,949.99,1,Paypal,17.349751412367688,1
Valerie Holmes,johnson522@fraudmail.com,"708 Christian Lake
New Ianport, CO 52220",Jamaica,2266294191314214,True,8,1,4660.12,0,Paypal,42.21000233499963,1
